original_filename,new_filename,sharpness_score,exposure_score,composition_score,combined_score,final_file_size_kb,faces_detected
20260418_183510375.jpg,photobooth_001.jpg,644.52,0.7151,0.9262,0.6317,205.5,6
20260418_184140641.jpg,photobooth_002.jpg,581.62,0.7365,0.9514,0.6244,179.5,3
20260418_184158522.jpg,photobooth_003.jpg,678.92,0.6987,0.6077,0.5430,184.0,2
20260418_183714150.jpg,photobooth_004.jpg,546.68,0.7127,0.7155,0.5364,171.0,3
20260418_185204617.jpg,photobooth_005.jpg,105.40,0.9394,0.9744,0.5289,182.0,3
20260418_174016141.jpg,photobooth_006.jpg,181.31,0.7919,0.9248,0.5015,180.3,8
20260418_165152245.jpg,photobooth_007.jpg,199.25,0.7829,0.9045,0.4990,138.9,6
20260418_173222459.jpg,photobooth_008.jpg,128.91,0.8279,0.9026,0.4870,98.0,1
20260418_172431104.jpg,photobooth_009.jpg,458.74,0.5904,0.7341,0.4831,186.9,7
20260418_183640153.jpg,photobooth_010.jpg,370.57,0.6942,0.7278,0.4788,149.9,3
20260418_174007282.jpg,photobooth_011.jpg,215.77,0.7289,0.8349,0.4699,190.9,7
20260418_174024943.jpg,photobooth_012.jpg,210.67,0.8178,0.7465,0.4640,191.7,9
20251122_220055759.jpg,photobooth_013.jpg,262.93,0.4734,0.8577,0.4280,172.4,3
20260418_173240143.jpg,photobooth_014.jpg,115.71,0.7566,0.7763,0.4271,86.7,2
20251122_220113768.jpg,photobooth_015.jpg,271.60,0.5270,0.7991,0.4266,171.4,3
20251122_220046858.jpg,photobooth_016.jpg,297.93,0.6231,0.6250,0.4069,170.7,2
20251122_220104726.jpg,photobooth_017.jpg,300.68,0.6451,0.5897,0.4027,181.2,4
20260418_180030822.jpg,photobooth_018.jpg,114.03,0.7197,0.7260,0.4022,96.9,2
20260418_172422331.jpg,photobooth_019.jpg,314.89,0.6603,0.5374,0.3954,167.0,8
20251030_200337900.jpg,photobooth_020.jpg,118.76,0.6963,0.6968,0.3891,197.2,1
20260418_180039516.jpg,photobooth_021.jpg,116.32,0.6640,0.7203,0.3873,94.8,1
20260418_165143466.jpg,photobooth_022.jpg,207.91,0.7819,0.4504,0.3653,146.2,5
20251030_212548467.jpg,photobooth_023.jpg,120.62,0.6262,0.5908,0.3404,167.4,3
20260418_172439958.jpg,photobooth_024.jpg,302.96,0.4787,0.4521,0.3205,162.8,6
